"edge_id"	"caller_file_id"	"caller_path"	"caller_package"	"source_line"	"delimiter"	"include_spelling"	"textual_resolution"	"resolved_selected_path"	"resolved_selected_package"	"evidence"
"MVDM-INCLUDE-00116"	"MVDM-FILE-0043"	"dos/dem/demfile.c"	"dos"	"21"	"<"	"nt_vdd.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demfile.c:21"
"MVDM-INCLUDE-00117"	"MVDM-FILE-0044"	"dos/dem/demgset.c"	"dos"	"21"	""""	"dem.h"	"selected-mvdm-relative"	"dos/dem/dem.h"	"dos"	"dos/dem/demgset.c:21"
"MVDM-INCLUDE-00118"	"MVDM-FILE-0044"	"dos/dem/demgset.c"	"dos"	"22"	""""	"demmsg.h"	"selected-mvdm-relative"	"dos/dem/demmsg.h"	"dos"	"dos/dem/demgset.c:22"
"MVDM-INCLUDE-00119"	"MVDM-FILE-0044"	"dos/dem/demgset.c"	"dos"	"24"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demgset.c:24"
"MVDM-INCLUDE-00120"	"MVDM-FILE-0044"	"dos/dem/demgset.c"	"dos"	"25"	"<"	"mvdm.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demgset.c:25"
"MVDM-INCLUDE-00121"	"MVDM-FILE-0044"	"dos/dem/demgset.c"	"dos"	"26"	"<"	"winbase.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demgset.c:26"
"MVDM-INCLUDE-00122"	"MVDM-FILE-0044"	"dos/dem/demgset.c"	"dos"	"27"	""""	"demdasd.h"	"selected-mvdm-relative"	"dos/dem/demdasd.h"	"dos"	"dos/dem/demgset.c:27"
"MVDM-INCLUDE-00123"	"MVDM-FILE-0045"	"dos/dem/demhndl.c"	"dos"	"15"	""""	"dem.h"	"selected-mvdm-relative"	"dos/dem/dem.h"	"dos"	"dos/dem/demhndl.c:15"
"MVDM-INCLUDE-00124"	"MVDM-FILE-0045"	"dos/dem/demhndl.c"	"dos"	"16"	""""	"demmsg.h"	"selected-mvdm-relative"	"dos/dem/demmsg.h"	"dos"	"dos/dem/demhndl.c:16"
"MVDM-INCLUDE-00125"	"MVDM-FILE-0045"	"dos/dem/demhndl.c"	"dos"	"18"	"<"	"softpc.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demhndl.c:18"
"MVDM-INCLUDE-00126"	"MVDM-FILE-0045"	"dos/dem/demhndl.c"	"dos"	"19"	"<"	"io.h"	"toolchain-or-sdk-textual"	""	""	"dos/dem/demhndl.c:19"
